P00958	6.52
P01094	51.47
P01097	43.52
P01098	43.02
P01119	43.68
P01120	45.34
P01123	15.53
P01149	14.54
P02293	29.77
P02294	29.77
P02309	19.41
P02381	4.02
P02400	39.09
P02406	26.84
P02407	20.58
P02557	14.87
P02829	13.25
P02992	7.78
P02994	4.36
P03069	86.83
P03870	0.7
P03871	9.11
P03872	23.98
P03873	0.7
P03874	2.85
P03875	6.47
P03876	4.09
P03877	0.24
P03878	0.35
P03879	0.62
P03881	4.66
P03882	8.51
P03962	1.12
P03965	2.05
P04037	32.9
P04039	30.76
P04046	5.88
P04050	29.71
P04051	13.76
P04076	5.18
P04147	27.72
P04161	0
P04173	0.82
P04385	2.08
P04386	42.67
P04387	3.9
P04397	1.43
P04449	23.87
P04456	2.81
P04650	1.96
P04710	2.26
P04786	29.64
P04801	6.67
P04802	12.38
P04803	13.72
P04806	4.32
P04807	4.73
P04817	15.08
P04819	19.07
P04821	47.51
P04840	0
P04911	21.96
P04912	21.96
P05030	11.76
P05066	7.43
P05085	33.18
P05150	3.55
P05316	16.9
P05317	12.82
P05318	42.45
P05319	38.67
P05373	3.5
P05374	13.69
P05375	4.36
P05453	38.68
P05626	18.44
P05694	0.26
P05737	1.63
P05738	1.57
P05739	6.81
P05740	13.58
P05743	10.23
P05744	2.8
P05745	1
P05747	8.47
P05748	0.98
P05749	15.7
P05750	12.5
P05755	15.38
P05756	7.28
P05759	0
P05986	18.34
P06100	0
P06101	19.36
P06102	61.72
P06103	12.05
P06104	12.79
P06105	13.58
P06106	1.57
P06115	11.92
P06168	10.88
P06169	3.19
P06174	1.81
P06182	29.36
P06197	8.63
P06208	8.72
P06242	1.96
P06243	26.62
P06244	18.13
P06245	14.73
P06367	10.94
P06633	6.36
P06634	26.32
P06700	34.51
P06701	39.87
P06704	10.55
P06738	5.65
P06773	0
P06774	74.71
P06775	13.76
P06776	13.49
P06777	31
P06778	58.59
P06779	20.35
P06780	10.52
P06781	3.64
P06782	34.12
P06783	38.93
P06784	38.83
P06785	5.26
P06786	34.73
P06787	13.6
P06838	35.71
P06839	11.31
P06843	81.08
P06844	21.06
P07143	21.03
P07149	5.6
