"uniprot_id"	"HI_bin"
"7893"	"P18850"	"nHI"
"7902"	"P57796"	"nHI"
"7907"	"O43570"	"nHI"
"7957"	"P15328"	"nHI"
"7967"	"Q13255"	"nHI"
"8001"	"O95394"	"nHI"
"8004"	"Q68DC2"	"nHI"
"8017"	"P01019"	"nHI"
"8019"	"Q12797"	"nHI"
"8037"	"O14958"	"nHI"
"8052"	"Q9NPI8"	"nHI"
"8122"	"Q9Y2M0"	"nHI"
"8128"	"O95876"	"nHI"
"8137"	"Q8NEA6"	"nHI"
"8192"	"P11310"	"nHI"
"8206"	"P35219"	"nHI"
"8209"	"P35218"	"nHI"
"8229"	"Q13158"	"nHI"
"8230"	"P05160"	"nHI"
"8231"	"P00742"	"nHI"
"8276"	"P13224"	"nHI"
"8279"	"P15516"	"nHI"
"8291"	"Q9UDR5"	"nHI"
"8347"	"P29033"	"nHI"
"8408"	"Q8IWZ6"	"nHI"
"8431"	"P13987"	"nHI"
"8435"	"O15078"	"nHI"
"8461"	"P00167"	"nHI"
"8496"	"Q9H222"	"nHI"
"8542"	"Q9HD42"	"nHI"
"8555"	"Q13286"	"nHI"
"8559"	"Q07092"	"nHI"
"8599"	"Q99708"	"nHI"
"8627"	"Q13651"	"nHI"
"8659"	"Q96M11"	"nHI"
"8669"	"Q8N4S9"	"nHI"
"8711"	"Q9Y5B0"	"nHI"
"8781"	"P01148"	"nHI"
"8806"	"P05089"	"nHI"
"8828"	"A8TX70"	"nHI"
"8857"	"Q86TH1"	"nHI"
"8862"	"Q6ZW61"	"nHI"
"8870"	"Q96L58"	"nHI"
"8899"	"Q9Y2V0"	"nHI"
"8931"	"Q9NQ11"	"nHI"
"8943"	"Q8TE60"	"nHI"
"8944"	"O95450"	"nHI"
"8957"	"Q12860"	"nHI"
"8981"	"Q9NPB3"	"nHI"
"9015"	"Q9NPC4"	"nHI"
"9063"	"P15289"	"nHI"
"9079"	"P58418"	"nHI"
"9084"	"P35670"	"nHI"
"9090"	"Q8WV28"	"nHI"
"9092"	"P16278"	"nHI"
"9123"	"Q96AQ7"	"nHI"
"9137"	"Q9H221"	"nHI"
"9138"	"Q9UKU7"	"nHI"
"9147"	"Q01718"	"nHI"
"9189"	"P02746"	"nHI"
"9199"	"P51800"	"nHI"
"9205"	"P28329"	"nHI"
"9219"	"Q07973"	"nHI"
"9231"	"Q4G176"	"nHI"
"9283"	"P78560"	"nHI"
"9290"	"O75718"	"nHI"
"9320"	"Q8NCR0"	"nHI"
"9338"	"Q9P2K1"	"nHI"
