string_id	string_id_alias	uniprot_alias
267	4932.YBR018C	GAL7	GAL7
268	4932.YBR019C	GAL10	GAL10
269	4932.YBR020W	GAL1	GAL1
270	4932.YBR021W	FUR4	FUR4
271	4932.YBR022W	POA1	POA1
272	4932.YBR023C	CHS3	CHS3
273	4932.YBR024W	SCO2	SCO2
274	4932.YBR025C	OLA1	OLA1
275	4932.YBR026C	ETR1	ETR1
276	4932.YBR027C	YBR027C	YBN7
277	4932.YBR028C	YPK3	YPK3
278	4932.YBR029C	CDS1	CDS1
279	4932.YBR030W	RKM3	RKM3
280	4932.YBR031W	YL2	YL2
281	4932.YBR033W	EDS1	EDS1
282	4932.YBR034C	HMT1	RMT1
283	4932.YBR035C	PDX3	PDX3
284	4932.YBR036C	CSG2	CSG2
285	4932.YBR037C	SCO1	SCO1
286	4932.YBR038W	CHS2	CHS2
287	4932.YBR039W	ATP3	ATPG
288	4932.YBR040W	FIG1	FIG1
289	4932.YBR041W	FAT1	FAT1
290	4932.YBR042C	CST26	CST26
291	4932.YBR043C	QDR3	QDR3
292	4932.YBR044C	TCM62	TCM62
293	4932.YBR045C	GIP1	GIP1
294	4932.YBR046C	ZTA1	QOR
295	4932.YBR047W	FMP23	FMP23
296	4932.YBR048W	YS12	YS12
297	4932.YBR049C	REB1	REB1
298	4932.YBR050C	REG2	REG2
299	4932.YBR051W	YBR051W	YBQ1
300	4932.YBR052C	RFS1	RFS1
301	4932.YBR053C	YBR053C	YBQ3
302	4932.YBR054W	YRO2	YRO2
303	4932.YBR055C	PRP6	PRP6
304	4932.YBR056W	YBR056W	YBQ6
305	4932.YBR056W-A	MNC1	YB56A
306	4932.YBR057C	MUM2	MUM2
307	4932.YBR058C	UBP14	UBP14
308	4932.YBR058C-A	TSC3	TSC3
309	4932.YBR059C	AKL1	AKL1
310	4932.YBR060C	ORC2	ORC2
311	4932.YBR061C	TRM7	TRM7
312	4932.YBR062C	YBR2	YBR2
313	4932.YBR063C	YBR3	YBR3
