string_id	string_symbol	uniprot_symbol	uniprot_alias	string_id_alias
162	9606.ENSP00000168712	NA	NA	KS3	KS3
163	9606.ENSP00000169298	NA	NA	SIAT1	ST6GAL1
164	9606.ENSP00000169551	NA	NA	TIM21	TIMM21
165	9606.ENSP00000170150	NA	NA	BPIFB2	9606.ENSP00000170150
166	9606.ENSP00000170168	NA	NA	REXO1	REXO1
167	9606.ENSP00000170447	NA	NA	MKRN2	MKRN2
168	9606.ENSP00000170564	NA	NA	GPATCH1	9606.ENSP00000170564
169	9606.ENSP00000171111	NA	NA	KEAP1	KEAP1
170	9606.ENSP00000171757	NA	NA	P2RY10	P2Y10
171	9606.ENSP00000171887	NA	NA	TNS1	TNS
172	9606.ENSP00000172229	NA	NA	NGFR	9606.ENSP00000172229
173	9606.ENSP00000173229	NA	NA	NTN1	NTN1
174	9606.ENSP00000173527	NA	NA	ISOC1	ISOC1
175	9606.ENSP00000173898	NA	NA	TRO	TRO
176	9606.ENSP00000174618	NA	NA	ROX	ROX
177	9606.ENSP00000175091	NA	NA	LAPTM4A	9606.ENSP00000175091
178	9606.ENSP00000175238	NA	NA	ADAM7	ADAM7
179	9606.ENSP00000175506	NA	NA	ASNSD	ASNS
180	9606.ENSP00000175756	NA	NA	PTPN18	BDP1
181	9606.ENSP00000176183	NA	NA	DRD4	DRD4
182	9606.ENSP00000176195	NA	NA	SCT	SCT
183	9606.ENSP00000176763	NA	NA	STK10	STK10
184	9606.ENSP00000177694	NA	NA	TBX21	TBX21
185	9606.ENSP00000177742	NA	NA	9606.ENSP00000177742	NA
186	9606.ENSP00000178638	NA	NA	CA12	CA12
187	9606.ENSP00000178640	NA	NA	MAP2K5	9606.ENSP00000178640
188	9606.ENSP00000179259	NA	NA	C12orf5	TIGAR
189	9606.ENSP00000180166	NA	NA	FGF20	FGF20
190	9606.ENSP00000180173	NA	NA	MTMR7	MTMR7
191	9606.ENSP00000181383	NA	NA	CPB2	9606.ENSP00000181383
